"id","name","comment","cate1","cate2","cate3","cate4","cate5"
1,"マジックグラス","序盤に手に入る","植物類","なし","なし","なし","なし"
2,"甘露の枝","使用アイテムの素材","調味料","なし","なし","なし","なし"
3,"ぷにぷに玉","使用アイテムの素材","薬の素材","なし","なし","なし","なし"
4,"マンドラゴラの根","使用アイテムの素材","毒の材料","なし","なし","なし","なし"
5,"アードラの尾根","使用アイテムや装飾品の素材","糸素材","なし","なし","なし","なし"
6,"小麦粉","使用アイテムの素材","食材","なし","なし","なし","なし"
7,"水","使用アイテムの素材","液体","なし","なし","なし","なし"
8,"コバルトベリー","使用アイテムや装飾品の素材","油","植物類","なし","なし","なし"
9,"カタ巻き貝","使用アイテムや装飾品の素材","食材","神秘の力","なし","なし","なし"
10,"魔獣の革","使用アイテムや装飾品の素材","糸素材","エリキシル","なし","なし","なし"
11,"竜のつの","使用アイテムや装飾品の素材","鉱石類","薬の材料","なし","なし","なし"
12,"三色ベリー","使用アイテムや装飾品の素材","食材","植物類","油","なし","なし"
13,"ミルクの樹液","使用アイテムや装飾品の素材","液体","調味料","食材","なし","なし"
14,"忘れられた獣の骨","使用アイテムや装飾品の素材","宝石類","薬の材料","エリキシル","なし","なし"
15,"星のかけら","使用アイテムや装飾品の素材","宝石類","神秘の力","鉱石類","なし","なし"
16,"マーメイドの涙","使用アイテムや装飾品の素材","宝石類","神秘の力","エリキシル","なし","なし"
17,"夢見る王冠","使用アイテムや装飾品の素材","薬の材料","植物類","食材","なし","なし"
18,"夜の貴婦人","使用アイテムや装飾品の素材","植物類","毒の材料","糸素材","なし","なし"
19,"湖底の溜まり","使用アイテムや装飾品の素材","液体","油","神秘の力","なし","なし"
20,"インゴット","武器や装飾品の素材","低級メタル","なし","なし","なし","なし"
21,"ツィンク","武器や装飾品の素材","低級メタル","なし","なし","なし","なし"
22,"ドライメタル","武器の素材","低級メタル","なし","なし","なし","なし"
23,"シュテルメタル","武器の素材","低級メタル","なし","なし","なし","なし"
24,"アクアブロンズ","武器や装飾品の素材","低級メタル","なし","なし","なし","なし"
25,"ゴルトアイゼン","武器の素材","中級メタル","なし","なし","なし","なし"
26,"シルヴァタイト","武器の素材","中級メタル","なし","なし","なし","なし"
27,"プラティーン","武器の素材","中級メタル","なし","なし","なし","なし"
28,"サンライト","武器の素材","高級メタル","なし","なし","なし","なし"
29,"ブラッディストン","武器の素材","高級メタル","なし","なし","なし","なし"
30,"クロース","防具や装飾品の素材","低級クロス","なし","なし","なし","なし"
31,"ネイロンフェザー","防具や装飾品の素材","低級クロス","なし","なし","なし","なし"
32,"シルケス","防具の素材","低級クロス","なし","なし","なし","なし"
33,"モフコット","防具の素材","低級クロス","なし","なし","なし","なし"
34,"ポリーウール","防具の素材","低級クロス","なし","なし","なし","なし"
35,"タンビーシュ","武器や防具の素材","中級クロス","なし","なし","なし","なし"
36,"スケイルクロス","武器や防具の素材","中級クロス","なし","なし","なし","なし"
37,"ヴァルトギンガム","防具の素材","中級クロス","なし","なし","なし","なし"
38,"ヴェルベティス","武器や防具の素材","高級クロス","なし","なし","なし","なし"
39,"ウィングキルト","武器や防具の素材","高級クロス","なし","なし","なし","なし"
40,"ブルーサンド","装飾品の素材","マテリア","なし","なし","なし","なし"
41,"マリンライト","装飾品の素材","マテリア","なし","なし","なし","なし"
42,"ペンデローク","装飾品の素材","マテリア","なし","なし","なし","なし"
43,"ウィスプストーン","装飾品の素材","マテリア","なし","なし","なし","なし"
44,"グリーンパール","装飾品の素材","マテリア","なし","なし","なし","なし"
45,"ジュエルビーンズ","装飾品の素材","マテリア","なし","なし","なし","なし"
46,"マグマストーン","装飾品の素材","マテリア","なし","なし","なし","なし"
47,"コメート","装飾品の素材","マテリア","なし","なし","なし","なし"
48,"強くなる石","装備強化に適した素材","なし","なし","なし","なし","なし"
49,"超強くなる石","装備強化に適した素材","なし","なし","なし","なし","なし"
50,"最強を目指す石","装備強化に適した素材","なし","なし","なし","なし","なし"
51,"Gのメダル","将来何かの役に立つメダル","なし","なし","なし","なし","なし"
52,"ブロンセ","特別な武器の素材","中級メタル","なし","なし","なし","なし"
53,"キーロブラス","特別な武器の素材","高級メタル","なし","なし","なし","なし"
54,"シュバルクーヘン","特別な武器の素材","高級メタル","なし","なし","なし","なし"
55,"フェルシアン","特別な装飾品の素材","マテリア","なし","なし","なし","なし"
56,"ブラストーン","特別な装飾品の素材","マテリア","なし","なし","なし","なし"
57,"オブシディアン","特別な装飾品の素材","マテリア","なし","なし","なし","なし"
58,"アーランド鉱石","マリーが欲しがっている素材","なし","なし","なし","なし","なし"
59,"マリーお手製メタル","杖の素材。高く売れるほか装備強化にも使える","なし","なし","なし","なし","なし"
0,"名前","なし","なし","なし","なし","なし","なし"
0,"名前","なし","なし","なし","なし","なし","なし"
0,"名前","なし","なし","なし","なし","なし","なし"
0,"名前","なし","なし","なし","なし","なし","なし"
0,"名前","なし","なし","なし","なし","なし","なし"
0,"名前","なし","なし","なし","なし","なし","なし"
0,"名前","なし","なし","なし","なし","なし","なし"
0,"名前","なし","なし","なし","なし","なし","なし"
